,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,uncondit,wors,interest,clearer,least,new,quot,funniest,cold,top,underr,hudson,cinemat,variou,mani,origin,full,dull,sever,graphic,english,christma,promin,patron,disnei,complet,tight,littl,touch,gorgeou,true,wast,dead,slow,solid,moodi,same,jason,entir,smart,tire,classic,noir,innoc,second,hate,fantast,cool,michael,michael,gross,young,cobb,interest,bore,toni,amaz,hot,older,human
,least,strong,wild,dumb,sound,previou,creepi,tough,special,bloodi,michael,own,french,tragic,green,true,comic,sure,brilliant,bore,fortun,whole,glad,full,import,troubl,littl,straight,last,huge,glad,silli,big,sever,correct,wors,sever,worthless,cute,sad,top,wonder,hilari,past,paul,differ,realist,high,real,robert,handsom,histor,tall,plain,true,own,strang,teenag,correct,local
,male,unrat,latest,huge,digit,video,martial,stupid,clear,troubl,lucki,pink,familiar,horribl,cool,lame,stilt,yummi,human,human,entir,scifi,delight,conei,impress,disgust,fantast,dull,clever,entertain,older,complain,enough,junk,fortun,unaccept,funniest,itchi,abus,full,creativ,differ,kei,modern,special,brilliant,short,unrealist,useabl,fals,superior,dirti,bore,enough,typic,real,michael,origin,perfect,import
,long,high,littl,bore,posit,audi,inspir,big,person,possibl,origin,downright,brilliant,inferior,wonder,entertain,simpl,migrain,woodi,hate,old,classic,next,accur,typic,excit,next,regret,big,second,most,slow,complex,recomend,unusu,paul,beauti,unaccept,stargat,interest,special,open,abl,annoi,support,annoi,hard,bore,sad,same,fatal,possibl,clean,worthless,new,enjoy,deep,huge,typic,young
,high,blond,impress,brown,english,main,comfort,video,earli,cheap,overal,wonder,awesom,simpl,broken,sever,big,kolori,abl,similar,correct,small,flat,young,light,old,final,much,same,free,better,jessi,full,decent,overal,wonder,goofi,realist,excit,stellar,kay,seriou,main,femm,georg,young,seriou,whole,mari,sweep,brilliant,horribl,fat,foul,impress,funniest,late,wors,hook,innoc
,last,origin,attract,finest,brilliant,young,attract,semin,final,scari,brilliant,beauti,attract,video,softcor,dull,mari,second,naval,wild,crisp,white,satisfi,abl,seriou,decent,sure,junk,magic,dead,close,entertain,overal,hate,small,dark,mani,onli,much,littl,later,such,entir,problem,rourk,origin,foreign,hate,fun,problem,onli,older,highest,simpl,michael,long,comed,due,dark,uncomfort
,correct,beastli,enjoy,gai,awar,french,superior,newhart,big,decent,sound,whole,much,full,awesom,short,littl,coleur,famou,basic,mccabe,sure,ill,tommi,crazi,amor,entir,own,import,comic,super,abl,offens,honest,entertain,special,chase,sorri,royal,young,teen,origin,david,domest,noir,wast,due,upset,visual,wonder,own,iron,hot,further,alec,hate,music,decent,sad,hate
,close,wont,dirti,funni,incred,horribl,scari,due,dark,fine,superior,interest,ann,worthless,charm,same,young,dowd,impress,earli,romant,static,short,upset,smart,corrupt,richard,troubl,fabul,enough,teen,singl,less,high,gothic,neel,young,scratchi,delight,onli,origin,full,terrif,communist,gritti,special,atom,alli,fine,hate,most,comic,slow,skeet,cute,weak,least,ugli,favourit,enough
,sure,evil,own,second,usual,next,least,next,right,earli,most,fine,power,crimin,superior,stupid,whole,recognis,black,next,greatest,metaphor,current,english,delight,long,donald,final,comic,new,disnei,most,wonder,subtil,interest,aw,impress,goofi,usual,angela,impress,sympathet,uniqu,predict,deep,enough,hollywood,decent,revolutionari,major,avail,easi,frank,mess,clever,total,special,beauti,jeremi,scari
,cari,privat,superior,gorei,boil,strong,young,littl,histor,wast,pleas,avail,greatest,much,attract,onli,differ,black,paranoid,clear,much,donnegan,laurenc,senior,avail,full,juli,complain,raini,video,awesom,entir,audio,next,hollywood,least,lonesom,highschool,sever,david,comfort,second,next,power,least,jame,avail,cheesei,young,such,fantast,worthwhil,militari,complain,attract,whole,sever,mediocr,happi,overal
,soft,differ,same,clear,laughabl,weak,graphic,unenthusiast,realist,clear,pink,peerless,green,low,bore,littl,origin,hellboi,major,slow,fine,young,mock,realist,french,true,glad,differ,young,clever,sure,bore,whodunit,funniest,entir,sensibl,latest,inferior,romant,true,beauti,thio,older,worst,power,cold,horribl,white,sever,sever,bobbi,choreograph,glad,true,creepi,free,modern,small,enough,engross
,incred,dirti,big,low,amaz,english,brilliant,blond,attract,certain,crazi,video,compel,top,differ,predict,lip,blanc,dark,obviou,charm,stiff,pure,damp,warm,picki,younger,hate,magnific,abl,comfort,hard,import,due,dark,slow,high,hard,s,cute,wild,pretti,dramat,import,hard,sure,former,lame,correct,patriarch,minut,strang,magnific,past,excit,michael,fascin,sure,sorri,horribl
,comic,christma,red,unabl,same,realist,solid,odifer,abl,lame,sensat,free,lesli,differ,audrei,rapunzel,high,straight,frighten,simpl,satisfi,speedi,deadli,inferior,male,neg,abl,fest,next,twist,refresh,feminist,special,complaint,gloriou,major,nice,same,similar,whole,same,nekako,black,much,civil,transcend,brilliant,realist,sure,unaccept,classic,main,s,difficult,clive,difficult,noir,dark,hollywood,easi
,depress,long,brown,jami,beauti,hate,second,beauti,moral,special,classi,sure,beauti,previou,slight,horribl,dull,true,overal,aw,giant,next,attract,devil,plastic,loud,enjoi,past,enough,junk,strang,forens,altern,full,whole,wild,slow,big,comfort,hilari,true,odakl,clear,previou,joseph,chines,scari,right,singl,grave,beverli,offici,stupid,excit,larg,right,posit,seriou,charm,onli
,tear,jane,satisfi,slither,georg,evil,new,innermost,famou,depress,particular,dumb,sure,live,alec,tangl,low,troublesom,white,pretti,whole,british,origin,horribl,fine,pointless,full,entir,terrif,origin,romant,regret,depress,black,slow,tommi,black,lesli,attract,laden,light,enough,simpl,polit,long,funni,fred,sure,gothic,amateurish,complet,usual,appropri,wonder,fri,absurd,richard,wonder,short,mental
,extra,smart,funni,heret,earli,letterbox,overal,tentlik,sexual,sick,fortun,coda,comfort,whole,disnei,carr,overal,uncredit,network,modern,stiff,entir,crisp,junk,stupid,problem,awesom,ridicul,chong,next,entir,heavi,central,abl,lucki,beauti,keen,bloodi,emot,free,full,njihov,comfort,militari,albert,southern,attract,pretenti,public,complaint,richard,bore,beatl,junk,few,mellow,handsom,main,import,ashlei
,move,seriou,whole,own,evil,least,corei,weezi,major,seriou,sure,overal,correct,rebelli,romant,unsuspect,jami,fiendish,high,intellig,sure,own,atom,pudgi,stellar,soft,whole,latest,second,innacur,typic,sorri,jimmi,differ,lumet,rich,big,cold,top,due,high,licn,glad,fatal,dead,robert,third,french,british,fine,differ,antiacadem,french,classic,toni,complain,tough,low,upper,complaint
,wild,big,young,western,realist,low,ski,much,natur,modern,attract,outer,certain,regret,correct,subspeci,seriou,siames,french,seriou,characterist,patient,lethal,woolen,enough,aw,strong,worthless,pure,pure,slow,sever,grand,long,quirki,entir,human,first,most,much,young,hillari,strong,special,chines,short,tragic,cheap,satisfi,repetit,blind,gross,total,funni,last,pain,dramat,boogi,quirki,inferior
,comfort,dead,next,serpentin,shallow,red,incred,short,posit,disturb,martial,few,variou,harsh,uniqu,overplai,sixth,fluster,sad,disturb,next,henri,special,next,bore,predict,import,long,fortun,dynamit,import,michael,scari,avail,main,superb,posit,humanoid,posit,sexi,jami,horribl,emot,sure,convinc,primari,decent,believ,abl,red,posit,desillus,fortun,local,incred,inferior,hollywood,genet,relax,entir
,warm,odd,remark,accur,extra,entertain,entir,krush,visual,averag,goldi,terriff,incred,accur,younger,demograph,lace,slantwis,similar,classic,creativ,indulg,brad,provision,hollywood,low,posit,main,power,ridicul,fantast,simpl,underr,complet,superior,liber,entir,jame,hilari,high,big,korist,aliv,regret,excit,maxin,foolish,next,italian,phenomen,iron,modern,simpl,earli,hilari,corrupt,rich,darker,modern,dark
,fortun,grip,beauti,high,fine,respons,same,fat,disturb,freddi,charm,least,british,last,dark,low,ronald,impati,adult,fine,rich,much,david,galact,dark,mess,acclaim,inform,notch,michael,michael,cherri,creativ,second,gorgeou,sorri,abl,short,few,younger,femal,jame,french,weak,short,grand,less,unaccept,enjoy,mess,constant,looser,visual,serial,okai,regret,stun,wast,particular,terrif
,ador,foolish,nice,sound,entertain,soft,intens,long,rich,complet,sever,crazi,low,quot,fortun,doesent,dumb,tipsi,comic,nasti,prompt,differ,nazi,civic,funniest,greatest,much,modern,charm,sorri,silli,micro,gai,low,peckinpah,unnecessari,coolest,mani,inspir,excit,incred,igr,social,main,human,greatest,overal,junk,better,import,glossi,vanguardist,superior,outer,short,new,sophist,bore,full,sad
,origin,wild,greatest,erot,such,s,top,nineteenth,singl,michael,greatest,lucki,modern,brilliant,suitabl,less,creapi,teru,quick,unabl,cinemat,rees,dead,impend,dull,bland,small,british,huge,common,human,stupid,low,regret,acad,red,fascin,more,move,horribl,avail,high,violent,sad,curti,utmost,human,complain,worth,complain,interest,ancient,differ,valet,idealist,old,jane,sever,david,predict
,entertain,lordag,entertain,full,music,aliv,soft,scarc,tough,beauti,same,open,unknown,enjoy,origin,stimul,clouseau,new,western,particular,immort,rich,small,classic,entertain,tediou,right,biggest,origin,cruel,incred,special,hollywood,darrin,legendari,freddi,superior,doubl,fortun,bete,entir,ako,awesom,small,abl,loyal,mini,hard,welcom,troubl,beauti,italian,recent,french,stupid,unaccept,seriou,easi,loud,cheat
,shirlei,incred,awesom,fine,short,high,watchabl,faster,older,nativ,funniest,tableau,fine,slow,touch,illicit,stagnant,stylis,fun,huge,underappreci,horribl,silli,whole,beauti,expens,white,complaint,johnni,darn,timeless,typic,richard,classic,jade,juvenil,most,excit,memor,least,kentucki,moramo,seriou,sick,enough,second,frank,possibl,superb,obnoxi,okai,hygien,human,evil,weird,pathet,superb,possibl,firefli,fake
,courtnei,cruel,free,japanes,spare,mess,next,fast,superb,local,enjoy,high,hard,bore,loud,nervou,incred,special,modern,brilliant,entertain,past,whole,uncontest,outstand,glow,extra,due,crazi,long,uniqu,dumb,complet,worthless,comfort,bore,decent,ski,avail,damp,humbl,usual,fine,brilliant,impress,unwil,talent,full,biblic,authent,long,garfield,sure,pain,top,fascin,sexi,sadist,right,junk
,dull,similar,least,deep,unrealist,aw,pace,supermodel,certain,free,second,rm,live,suspenc,heavi,fay,short,karol,earli,sexi,wild,earli,straight,rene,fair,laps,hard,scari,sick,own,long,beauti,next,famou,isaac,kensit,complet,idiot,cold,futur,older,big,local,pure,slow,uncontrol,incred,altern,central,debbi,other,superbl,short,rocki,unrat,true,toni,older,warm,possibl
,stuart,goddag,poetic,cool,underr,x,s,special,wild,virgin,near,bore,robert,certain,impress,abl,dorothi,dow,variou,garfield,superior,loyal,superior,brendan,witti,junk,brown,theatric,enjoy,slow,heavi,main,authent,gai,friendli,anton,earli,offens,colour,angola,tasteless,jami,blind,hilari,nice,manipul,right,regret,brilliant,buddhist,younger,jan,sexual,complet,small,dramat,popular,realist,seriou,troubl
,sweet,frustrat,quot,terrif,cannib,small,suitabl,puffi,sure,cold,touch,synch,short,rachel,flawless,scari,lesli,horribl,fascin,final,brash,bloodi,big,averag,satisfi,main,dirti,averag,light,angri,attract,import,black,past,sexi,small,long,slow,belov,untyp,weird,few,stun,french,comfort,danger,full,beauti,delight,real,hard,ultim,creativ,familiar,local,typic,nice,jane,quot,such
,breathtak,corrupt,correct,least,masculin,mickei,abl,breathi,third,social,last,bluegrass,kenneth,sure,comfort,walt,stellar,stilt,fine,horribl,heartfelt,overal,sure,illeg,more,right,deep,import,campi,ghastli,modern,strang,crazi,crazi,georg,sombr,modern,latest,pure,fast,mental,special,hollywood,underground,much,much,top,seriou,audio,excit,entertain,portabl,intrigu,strong,funniest,creepi,hilari,marri,creativ,sever
,top,special,fine,frontal,final,full,quotabl,ridgemont,greatest,accur,fine,spectacular,sweet,classic,own,enough,easi,honest,evil,obnoxi,new,red,chief,stack,human,billi,success,reed,long,normal,tire,massiv,michael,lead,major,whole,incred,benjamin,due,entir,twist,averag,innoc,un,possibl,main,hot,late,unforgett,young,true,earli,beauti,richard,surpris,wors,glad,gail,blue,unaccept
,bigger,soft,cool,kewl,glad,dead,total,low,tragic,nation,onli,sido,older,weak,woodi,cool,late,creepi,attract,weak,differ,traudl,avail,exot,low,ultra,excit,uneven,witti,weak,date,complaint,sever,loyal,enjoy,brilliant,longest,gamest,easi,few,close,tinash,english,bore,fast,excit,spectacular,mediocr,avail,sure,unabl,whole,sweet,heroic,comfort,ridicul,major,local,emot,hilari
,crazi,comic,huge,french,b,top,ridgemont,inspir,hollywood,much,rough,kirkwood,complet,mess,youngest,gallio,teen,apasionant,awesom,chines,dupe,new,crazi,tortur,few,video,less,upset,free,discontinu,magic,final,correct,mess,juli,own,live,tickl,greatest,sever,charm,slow,satisfi,danni,light,neat,perfect,hilari,least,english,saget,consumm,late,low,memor,blank,sweet,bright,challeng,grown
,italian,captian,fortun,long,full,complaint,excit,new,top,red,hook,shalhoub,less,upset,recogniz,beauti,ill,josphin,simpl,sever,crazi,zulu,martial,earli,terrif,young,due,surreal,black,grip,sad,annoi,possibl,enthrawl,muriel,irrelav,major,watchabl,jane,readi,mythic,dudesqu,sure,clear,caviezel,richard,free,lucki,posit,weak,obscur,next,low,such,entir,smart,second,eric,such,rough
,dancehal,psycholog,multi,strong,top,modern,avail,herrand,soviet,obviou,seriou,quad,whole,fictiv,inexperienc,reid,earli,phil,entertain,nude,interest,tire,anim,teenag,femal,complain,vintag,dumb,lovabl,random,decent,credibl,satisfi,theatric,comic,oppinion,daniel,high,such,clad,okai,short,outstand,stupid,enjoy,final,easi,southern,jane,singl,penil,care,avail,possibl,strang,such,fortun,stupid,physic,particular
,helena,geraldin,wide,small,superb,b,much,decent,uniqu,hot,realist,rut,full,zundel,cheryl,stupe,evil,evil,gai,entertain,blethyn,portabl,evil,present,posit,pregnant,realist,dirti,such,high,simpl,close,attract,video,complic,comic,amus,busi,breezi,michael,fri,violent,red,violent,entir,right,close,sever,live,present,much,avail,quick,open,second,brilliant,hot,less,tough,huge
,special,dull,toughest,latest,big,fine,polar,sever,dead,excit,differ,earli,clever,big,cheap,lorrain,free,aw,femal,difficult,signific,crazi,last,few,comfort,inferior,emot,hilari,common,wors,late,ridicul,toni,moonlit,high,evil,sweet,postal,aliv,origin,outstand,fatiqu,superb,open,strong,militar,abl,pointless,magic,main,earli,zoom,young,singl,satisfi,junk,superior,memor,main,simpl
,fresh,main,power,total,healthi,unrealist,alittl,nosurpris,common,foreign,babe,virtuoso,artist,sever,incred,phenomena,cute,white,final,prime,implicit,unfair,wild,notori,person,giant,frank,popular,ador,sure,particular,liber,clear,unaccept,underr,horribl,deep,snowi,convinc,such,superior,close,religi,second,import,fascin,surpris,due,fascin,familiar,chri,super,elit,imposs,clean,small,wild,corrupt,rare,lame
,light,past,differ,artsi,attract,due,hot,montrai,brief,difficult,extra,yanke,visual,ultim,power,screw,slow,ridicul,wild,worst,past,interest,ralph,top,foreign,more,s,eddi,high,full,earli,worthless,humbl,unus,alec,jason,tediou,gunsling,medic,boon,violent,dolph,low,less,mitchel,iron,manic,tortur,simpl,vapid,ultim,sloppi,dark,blurri,origin,video,greatest,regret,corei,worthless
,hilari,common,classic,typic,religi,laughabl,outstand,salou,tradit,uniqu,high,origin,big,rehears,entir,deborah,angri,big,hilari,seagal,grander,funni,comfort,slow,amaz,last,live,michael,engross,comed,small,damn,quick,sure,second,lousi,quot,mediev,mega,tabloid,usual,weird,former,local,sweet,complaint,satisfi,pure,main,next,charli,huge,cold,human,fantast,few,solid,gritti,enthral,spooki
,ofcours,scifi,long,convinc,terrif,brilliant,video,own,due,strong,much,differ,minor,pure,inform,michael,joy,jeunet,cool,richard,subervs,wonder,paul,avail,cute,biggest,cool,stellar,underr,lame,inspir,upset,thick,scari,glad,lucki,correct,lovabl,barrymor,belov,right,main,superior,aliv,comic,abl,okai,ridicul,incomplet,much,superb,classic,proud,funki,billi,last,robert,evil,less,inaccur
,particular,lesli,hard,luci,wonder,phantom,mami,mime,next,danger,jane,onli,richard,young,intern,own,marvel,origin,comfort,bizarr,californian,shoshon,superb,gai,overal,ridicul,burt,present,brown,cheesi,overal,serial,strong,bore,right,exot,greatest,beagl,correct,baphomet,differ,mst,major,industri,dark,senior,fabul,classic,classic,enough,satisfi,much,power,differ,difficult,upset,gorgeou,pretti,uplift,video
,cute,deaf,late,jane,herbert,awar,tradit,perenni,local,secret,gerri,christma,vintag,dead,low,green,fairer,slimei,terrifi,local,christma,granvil,worn,saloon,such,intellig,michael,gener,excit,duval,rich,unaccept,academ,superb,s,sound,top,mccarthi,superb,gorgeou,main,free,enough,horribl,fortun,japanes,fortun,flat,realist,open,typic,suspici,fast,aw,fascin,entir,paul,stylish,low,sick
,honest,readi,realist,youtub,decent,unaccept,spectacular,sure,seriou,dumb,fabul,funniest,strong,spotless,dull,straight,terrif,free,top,italian,realist,brilliant,reminisc,least,comic,earli,shabbi,sure,unbeliev,stupid,okai,wonder,uncut,clear,earli,right,sexi,whisperi,import,avail,glitchet,pretentiuo,rich,late,right,paul,theatric,short,comic,gener,stuart,hard,vlll,minor,correct,comedian,former,super,endear,older
,seriou,hilari,black,young,dolbi,earli,such,aw,foreign,deep,inspir,herbi,fortun,french,cute,tire,lindlei,differ,strang,predict,short,most,few,true,silli,contriv,superb,enjoy,disnei,offend,posit,creepi,seriou,audio,depress,hollywood,okai,warmer,least,scalpel,super,twist,mad,final,simpl,cann,femal,human,much,gai,past,naiv,possibl,windbag,italian,fast,blue,bizarr,abl,aw
,magic,particular,high,enough,previou,fake,decent,disinterest,similar,militari,entertain,afraid,newer,junk,old,rachael,classic,wonder,magnific,strong,john,militari,littl,muddi,molli,fast,differ,power,hyster,heavi,impress,tini,free,helen,romant,fresh,entertain,prom,special,miguel,low,silli,memor,angri,grei,tough,romant,instrument,power,bore,main,extra,easi,cold,martial,violent,fred,top,onli,jason
,oh,beacaus,abl,uptight,italian,inferior,jayn,semi,central,sexual,visual,streisand,dramat,progress,straight,second,valid,hilari,outstand,upset,georg,huge,greatest,genuin,correct,pure,complet,typic,satisfi,biograph,deep,overal,posit,toni,manuel,fake,sorri,most,own,aural,last,luke,cold,mad,numer,anti,cheap,overal,short,incess,autobiograph,entertain,funni,michael,superior,cute,british,deadli,second,except
,differ,sizzl,low,wild,next,remast,lead,roundabout,memor,shock,comic,possibl,uniqu,black,evil,total,own,dark,difficult,dark,closer,old,outstand,omin,british,upset,safe,unaccept,robert,pretti,weird,hidden,slow,common,human,sterl,comed,hijink,matt,import,fortun,wors,right,nake,final,lunat,music,compel,final,least,garfield,wonder,lesser,super,older,jest,outstand,obligatori,weird,black
,histor,steamili,ann,belov,rourk,greatest,rich,afraid,fantast,singl,music,gullibl,amus,british,brill,arthous,bedridden,pure,red,ridicul,minim,becqooerel,electr,enough,juli,french,spectacular,hapless,lazi,beauti,grai,incred,cool,horribl,satisfi,lip,flic,david,ultim,evil,enjoy,bloodi,particular,due,futur,long,long,unconvinc,wise,fascin,burlesqu,adept,second,short,dark,fade,emot,tommi,intellig,top
,tire,sucess,proud,entertain,younger,sad,crazi,siames,magnific,ultim,comfort,old,mad,hanki,second,antitrust,pixi,troi,typic,fascin,presbyterian,mekesheefft,true,straight,innoc,oh,overal,violent,british,johnni,second,honest,alittl,central,import,unruli,own,endless,origin,neill,refresh,entir,michael,black,main,alarm,gorgeou,averag,high,godless,super,greatest,attract,total,fair,easi,lone,singl,greatest,expatri
,second,enough,thick,scari,due,seriou,wendi,dumb,honest,aw,short,ell,georg,digest,onli,excit,strong,cecil,creativ,sad,archetyp,short,cool,proverbi,sexual,hilari,judi,laughabl,facial,unbeliev,excit,consist,younger,lesbian,golden,noisi,fast,cruddi,gari,pure,bloodi,miss,due,fast,engag,deplet,aw,close,person,passion,mutual,gai,sever,black,believ,simpl,cinemat,former,delight,laughabl
,posit,sweet,psycholog,garanc,new,much,harmless,barrault,sad,nasti,singl,penetr,realist,unstabl,absolut,proud,next,mischiev,singl,danger,authorit,duski,ex,open,sound,unaccept,georg,white,biograph,sick,obviou,ghastli,worthwhil,special,fast,import,sure,usual,finest,jane,hillari,tire,lead,inferior,natali,bruce,excit,imposs,harsh,rare,mathieu,richard,outstand,hot,enough,plausibl,memor,brilliant,satisfi,ugli
