,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,easi,expens,glad,japani,texa,big,short,sad,deep,stupid,earli,experiencia,own,old,satisfi,long,smarmi,endang,whole,jewish,brilliant,sever,cagnei,such,particular,shallow,western,second,romant,crazi,sever,gruesom,witti,sensit,creativ,interest,glad,andrew,full,snobbi,jame,entertain,long,former,differ,junk,superior,georgi,last,histor,glad,brilliant,earli,complaint,sad,sound,french,right,sever,obsess
,whole,whole,better,earli,modern,hollywood,special,scari,wonder,due,young,cazador,mari,dumb,pleasant,easi,creepi,roug,small,grand,small,long,correct,sever,excit,dumb,impress,complet,differ,redeem,full,neg,happi,grim,origin,roubaud,fortun,jami,gorgeou,daili,underr,wont,evil,upset,origin,jason,wild,evil,okai,full,blue,martial,imposs,same,awesom,enough,charm,medic,christma,silki
,dirti,least,western,entir,fantast,littl,wonder,realist,simpl,main,least,such,pure,such,hollywood,mani,satisfi,hodg,full,full,glad,inquietant,posit,worthless,sad,best,late,wonder,fantast,sweet,origin,local,fortun,brilliant,fresh,regret,hard,charli,common,differ,such,michael,richard,dark,small,convinc,classic,dull,such,high,correct,littl,same,troubl,unbox,weird,much,deaf,enjoy,hard
,emot,import,intens,cleaner,most,audio,sad,carn,modern,slow,breathtak,long,differ,complain,billi,late,audrei,dickensian,strong,funni,open,onli,such,unaccept,enjoy,psychot,amaz,hard,astair,complaint,stargat,black,outstand,less,sharp,possit,interest,complaint,fast,classic,seriou,bore,person,billi,superior,upset,awesom,laughabl,same,nasti,bunuel,junk,digit,littl,romant,angri,strong,corpor,scari,afraid
,silent,close,jane,whole,small,upset,onli,prevert,social,fat,few,michael,earli,less,most,fake,iffi,canniabl,least,late,tire,como,top,entertain,romant,smart,such,hugh,onli,depress,excel,democrat,halari,complain,rich,nake,comfort,alien,superior,old,short,scari,much,terribl,cold,old,least,last,happi,littl,big,real,amaz,expens,classic,decent,origin,much,innoc,delight
,import,hot,finest,worthless,dark,true,littl,onli,czech,hate,worth,esquim,marvel,long,avail,dumb,new,silli,third,major,nigel,full,usual,horrid,glad,cox,robert,short,cari,horribl,stale,second,avail,late,attract,finest,onli,amus,high,hunki,hot,stupid,final,hard,wild,dead,impress,entertain,fourth,true,fortun,unaccept,impress,tall,perfect,cold,sure,recent,hilari,origin
,sentiment,last,other,excit,main,horrend,last,second,funni,long,interest,cute,tradit,comed,littl,hot,special,confuss,italian,troubl,indecis,resumen,charlott,origin,complet,particular,own,such,depress,overr,beauti,teenag,second,import,least,marshal,enjoy,funniest,absolut,pretti,sure,sever,late,troubl,satisfi,due,intellig,dumb,attract,brilliant,sober,interest,such,unaccept,younger,pointless,right,ridicul,top,regret
,lesli,bore,posit,next,david,junk,own,same,worth,bore,robert,comic,fascin,special,perfect,high,lead,poacher,classic,stupid,heroic,excit,undercov,difficult,wild,own,same,full,own,mitch,crazi,small,abl,whole,comed,true,worth,bionicl,readi,gravit,second,awsom,favorit,entir,big,toni,martial,corni,excit,regret,littl,drunk,strong,hate,interest,mess,happi,desper,classic,mess
,much,male,avail,polit,rich,dumb,older,least,second,short,tragic,complaint,surpris,entertain,entertain,avail,hilari,ell,worth,long,posit,menor,spike,long,obviou,silli,biggest,funni,new,import,classic,hate,broadwai,uncut,michael,overal,pure,new,teresa,gravel,few,same,second,gener,evil,wonder,import,second,long,neg,awesom,most,long,high,right,special,incred,paul,phenomen,long
,sappi,gorgeou,fun,scarei,anthoni,such,trashi,top,emot,right,posit,same,last,complet,proud,core,pure,dekalog,happi,minor,real,librito,financi,low,full,plain,eddi,young,posit,last,scari,graphic,histor,worthwhil,david,worthless,more,regret,beauti,aforesaid,terrif,unwatch,usual,weird,frank,unaccept,such,young,major,greatest,comfort,past,charl,former,easi,nasti,local,terribl,fine,dumb
